game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Trae Waynes,WaynTr00,0,7,6,0.857,82,13.7,11.7,1,155.1,13.3,70,12,0,0,0,0,0,3,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Anthony Barr,BarrAn00,0,6,5,0.833,31,6.2,5.2,0,88.2,3.8,17,14,7,1,1,1,3,6,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Xavier Rhodes,RhodXa00,0,8,5,0.625,56,11.2,7,0,83.3,6.6,35,21,0,0,0,0,0,7,1,0.125
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Eric Kendricks,KendEr00,0,5,3,0.6,35,11.7,7,0,81.2,4.2,8,27,5,1,1,0,2,6,2,0.25
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Kris Boyd,BoydKr00,0,2,2,1,9,4.5,4.5,0,85.4,2.5,5,4,0,0,0,0,0,2,2,0.5
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Harrison Smith,SmitHa00,0,4,2,0.5,8,4,2,0,56.2,13.3,8,0,3,0,0,0,0,9,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Anthony Harris,HarrAn01,2,3,1,0.333,NA,NA,0,NA,2.8,5.3,NA,NA,2,0,0,0,0,5,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Eric Wilson,WilsEr00,0,1,1,1,16,16,16,0,118.7,6,6,10,0,0,0,0,0,2,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Danielle Hunter,HuntDa01,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,4,4,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Everson Griffen,GrifEv99,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,1,2,0.667
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Linval Joseph,JoseLi99,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,4,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Mackensie Alexander,AlexMa01,0,1,0,0,NA,NA,0,NA,39.6,37,NA,NA,0,0,0,0,0,1,0,0
2019_01_ATL_MIN,201909080min,2019,1,REG,MIN,ATL,Ben Gedeon,GedeBe00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0.5
2019_01_ATL_MIN,201909080min,2019,1,REG,ATL,MIN,Vic Beasley,BeasVi00,0,2,2,1,16,8,8,0,100,1.5,3,13,6,1,0,0,1,3,1,0.25
