game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Mike Williams,WillMi07,0,0,0,0,39.6
2021_04_LV_LAC,202110040sdg,2021,4,REG,LAC,LV,Tevaughn Campbell,CampTe00,0,0,0,0,39.6
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Hunter Renfrow,RenfHu00,0,1,0.125,0,127.6
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Josh Jacobs,JacoJo01,1,0,0,0,80.8
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Darren Waller,WallDa01,0,1,0.143,1,79.5
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Henry Ruggs III,RuggHe00,0,1,0.167,0,85.4
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Bryan Edwards,EdwaBr01,0,0,0,0,39.6
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Zay Jones,JoneZa00,1,0,0,0,87.5
2021_04_LV_LAC,202110040sdg,2021,4,REG,LV,LAC,Willie Snead,SneaWi00,0,0,0,0,118.7
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Tyler Lockett,LockTy00,0,0,0,2,27.9
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,D.K. Metcalf,MetcDK00,2,0,0,0,158.3
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Alex Collins,CollAl00,0,0,0,0,92.4
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,DeeJay Dallas,DallDe00,1,0,0,0,118.7
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Will Dissly,DissWi00,0,1,0.25,0,74
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Penny Hart,HartPe01,0,0,0,0,106.2
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Travis Homer,HomeTr00,1,0,0,0,118.7
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Colby Parkinson,ParkCo02,0,0,0,0,56.2
2021_05_LA_SEA,202110070sea,2021,5,REG,SEA,LA,Freddie Swain,SwaiFr00,0,0,0,0,42.4
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Robert Woods,WoodRo02,0,0,0,0,111.3
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Cooper Kupp,KuppCo00,0,0,0,0,98.7
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Tyler Higbee,HigbTy00,1,0,0,0,135.4
